City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
221,Tevaitoa,-16.7833,-151.5,80.58,62,20,11.32,PF,few clouds
222,Mpulungu,-8.7623,31.1141,71.82,82,100,8.12,ZM,overcast clouds
223,San Felipe,10.3399,-68.7425,72.59,97,99,3.18,VE,overcast clouds
224,Dzhebariki-Khaya,62.2167,135.8,3.18,85,100,3.71,RU,overcast clouds
225,Kargil,34.5667,76.1,30.6,92,100,5.32,IN,snow
226,Mayumba,-3.432,10.6554,78.04,89,100,4.81,GA,overcast clouds
227,Kawalu,-7.3817,108.2082,78.78,79,99,1.03,ID,overcast clouds
228,Port Hardy,50.6996,-127.4199,44.6,87,90,4.61,CA,overcast clouds
229,Ibra,22.6906,58.5334,69.96,34,0,1.3,OM,clear sky
230,Vardo,70.3705,31.1107,32.72,76,36,24.0,NO,scattered clouds
231,Rabo De Peixe,37.8,-25.5833,57.2,94,20,5.75,PT,few clouds
232,Alakurtti,66.9672,30.3491,32.0,79,100,7.0,RU,light snow
233,Scarborough,54.2797,-0.4044,32.0,66,82,3.0,GB,broken clouds
234,Znamenskoye,57.1281,73.8282,31.77,93,100,10.4,RU,overcast clouds
235,Sungaipenuh,-2.0833,101.3833,69.49,81,100,1.36,ID,overcast clouds
236,Lebu,-37.6167,-73.65,57.04,90,100,5.32,CL,overcast clouds
237,Bac Lieu,9.285,105.7244,84.2,66,92,15.73,VN,overcast clouds
238,Toora-Khem,52.4675,96.11,33.22,82,70,2.1,RU,broken clouds
239,Vallenar,-28.5708,-70.7581,69.06,50,0,2.01,CL,clear sky
240,Alice Springs,-23.7,133.8833,84.0,32,0,8.05,AU,clear sky
241,Rafaela,-31.2503,-61.4867,71.01,62,0,1.01,AR,clear sky
242,Sola,-13.8833,167.55,86.0,74,40,3.44,VU,scattered clouds
243,Samarai,-10.6167,150.6667,85.21,71,43,14.29,PG,scattered clouds
244,Ostersund,63.1792,14.6357,30.99,80,20,13.8,SE,few clouds
245,Uray,60.1247,64.7758,21.72,98,29,3.31,RU,scattered clouds
246,Kovernino,57.1253,43.8142,30.79,96,100,7.38,RU,overcast clouds
247,Port Lincoln,-34.7333,135.8667,71.38,58,0,8.23,AU,light rain
248,Pryazha,61.6926,33.6216,32.0,74,8,8.95,RU,clear sky
249,Myanaung,18.2833,95.3167,79.09,69,0,3.36,MM,clear sky
250,Gizo,-8.103,156.8419,81.0,83,100,16.73,SB,moderate rain
251,Yacuiba,-22.038,-63.6797,71.1,91,38,2.53,BO,scattered clouds
252,Carnarvon,-24.8667,113.6333,78.8,73,100,14.97,AU,overcast clouds
253,Kodiak,57.79,-152.4072,41.0,56,90,11.5,US,overcast clouds
254,Kaohsiung,22.6163,120.3133,77.0,69,75,6.91,TW,broken clouds
255,Rosarito,32.3333,-117.0333,64.4,72,75,14.97,MX,broken clouds
256,Umm Lajj,25.0213,37.2685,77.68,50,0,4.09,SA,clear sky
257,Ilulissat,69.2167,-51.1,17.6,73,90,11.5,GL,light intensity drizzle
258,Coxim,-18.5067,-54.76,72.81,90,100,1.14,BR,overcast clouds
259,Andijon,40.7821,72.3442,46.4,81,75,6.71,UZ,smoke
260,Charters Towers,-20.1,146.2667,84.99,45,0,4.09,AU,clear sky
261,Beloha,-25.1667,45.05,70.5,75,75,8.72,MG,broken clouds
262,Gangapur,26.4833,76.7167,77.65,21,0,5.06,IN,clear sky
263,Port Augusta,-32.5,137.7667,80.01,50,0,8.05,AU,clear sky
264,Bafoulabe,13.8065,-10.8321,90.57,9,0,3.62,ML,clear sky
265,Rocha,-34.4833,-54.3333,63.73,96,0,5.77,UY,clear sky
266,Upernavik,72.7868,-56.1549,3.88,94,100,13.4,GL,overcast clouds
267,Sept-Iles,50.2001,-66.3821,46.4,93,100,5.75,CA,overcast clouds
268,Karaton,-6.3424,106.1045,82.0,88,75,11.5,ID,broken clouds
269,Puerto Del Rosario,28.5004,-13.8627,62.6,67,0,5.75,ES,clear sky
270,Rio Grande,-32.035,-52.0986,72.0,93,18,11.27,BR,few clouds
271,Ko Samui,9.5357,99.9357,86.0,74,75,6.91,TH,broken clouds
272,Te Anau,-45.4167,167.7167,60.96,54,61,0.29,NZ,broken clouds
273,Vila Velha,-20.3297,-40.2925,71.6,94,20,4.61,BR,few clouds
274,Kutum,14.2,24.6667,70.59,14,6,4.52,SD,clear sky
275,Olafsvik,64.8945,-23.7142,29.98,74,100,11.03,IS,light snow
276,Kununurra,-15.7667,128.7333,89.6,55,40,4.61,AU,scattered clouds
277,Galle,6.0367,80.217,76.35,84,55,7.07,LK,broken clouds
278,Vao,-22.6667,167.4833,75.88,64,100,13.22,NC,overcast clouds
279,Curup,-3.4667,102.5333,74.23,70,90,1.63,ID,overcast clouds
280,Gunnedah,-30.9833,150.25,78.01,59,1,5.99,AU,clear sky
281,Losone,46.1687,8.7593,39.2,30,40,3.44,CH,scattered clouds
282,Korla,41.7597,86.1469,53.78,28,100,10.04,CN,overcast clouds
283,Lorengau,-2.0226,147.2712,85.78,66,56,10.13,PG,broken clouds
284,Arlit,18.7369,7.3853,81.12,7,7,6.78,NE,clear sky
285,Bure,10.7,37.0667,64.24,51,72,3.15,ET,broken clouds
286,Komagane,35.7296,137.9396,52.0,56,19,3.0,JP,few clouds
287,Souillac,-20.5167,57.5167,75.2,94,75,12.66,MU,light rain
288,Maneadero,31.7167,-116.5667,61.0,83,100,1.99,MX,overcast clouds
289,Luderitz,-26.6481,15.1594,61.5,79,0,13.0,NA,clear sky
290,Aswan,24.0934,32.907,75.34,13,3,8.9,EG,clear sky
291,Cockburn Town,21.4612,-71.1419,74.34,68,100,19.08,TC,overcast clouds
292,Saravena,6.9538,-71.8752,73.24,92,44,1.5,CO,heavy intensity rain
293,Sibi,29.5448,67.8764,73.35,10,0,9.44,PK,clear sky
294,Takoradi,4.8845,-1.7554,80.17,88,5,5.03,GH,clear sky
295,Mbanza-Ngungu,-5.25,14.8667,67.26,96,100,1.74,CD,overcast clouds
296,Esperance,-33.8667,121.9,68.0,77,90,11.5,AU,overcast clouds
297,Troitsko-Pechorsk,62.7084,56.1964,32.77,93,100,4.88,RU,overcast clouds
298,Adrar,20.5022,-10.0711,77.04,20,1,10.29,MR,clear sky
299,Auce,56.4598,22.9017,30.2,93,7,8.05,LV,clear sky
300,Yar-Sale,66.8333,70.8333,12.7,95,59,10.04,RU,broken clouds
301,George,-33.963,22.4617,55.4,100,20,4.61,ZA,few clouds
302,Ambovombe,-25.1667,46.0833,71.83,79,77,11.88,MG,broken clouds
303,Vulcan,45.3833,23.2667,29.14,95,100,6.96,RO,light snow
304,Erdenet,49.0333,104.0833,40.69,42,11,2.91,MN,few clouds
305,Pathein,16.7833,94.7333,78.84,78,4,4.99,MM,clear sky
306,Usinsk,65.9939,57.5281,28.92,93,42,12.75,RU,scattered clouds
307,Nova Olinda Do Norte,-3.8881,-59.0942,75.38,91,88,2.51,BR,overcast clouds
308,Saravan,39.7196,45.6483,48.2,61,90,11.5,AM,overcast clouds
309,Praya,14.9215,-23.5087,77.0,41,0,18.41,CV,clear sky
310,Maloy,61.9353,5.1136,35.01,93,90,14.97,NO,light snow
311,Shingu,33.7333,135.9833,59.0,63,20,12.66,JP,few clouds
312,Kudahuvadhoo,2.6708,72.8944,83.7,62,99,5.7,MV,overcast clouds
313,Lamar,33.6668,-95.5836,73.4,64,1,12.66,US,clear sky
314,Nome,64.5011,-165.4064,14.0,52,1,5.75,US,clear sky
315,Talara,-4.5772,-81.2719,71.47,83,100,7.47,PE,overcast clouds
316,Sabang,5.8933,95.3214,82.11,74,100,12.33,ID,overcast clouds
